Log #,Complaint #,Date,Address #,Street Name,Borough,District,Work Reported,Closed,Issued Violation?
1670,00-08-02-010,8/2/99,80-09,37th Avenue,Qn,JH,Interoir Alts. & lighting in sign band; 7 Feb 01: shopfronts,1,1
1671,00-08-02-011,8/2/99,300,East 77th Street,Mn,NOT DESIGNATED,scaffolding,1,0
1672,00-08-02-012,8/2/99,481,12th Street,Bn,PS,In need of maintenance,1,1
1673,00-08-05-013,8/5/99,[933 or 940],East 74th Street,Mn,UES,Signs,1,1
1674,00-08-05-014,8/5/99,6,West 123rd Street,Mn,MMP,Windows,1,1
1676,00-08-06-016,8/6/99,127,East 10th Street,Mn,SMA,"A/C condensor, garbage storage unit",1,1
1677,00-08-06-017,8/6/99,11-15,West 123rd Street,Mn,MMP,Yellow paint,1,0
1679,00-08-06-019,8/6/99,171,Columbus Avenue,Mn,UWS,"""Thomas Drugs"" sign, ""67 & More"" awning",1,1
1680,00-08-09-020,8/9/99,111,Hudson Street,Mn,TRIW,Interior Alterations at 1st floor,1,0
1682,00-08-10-022,8/10/99,181,West 10th Street,Mn,GV,Shed on roof,1,1
1683,00-08-10-023,8/10/99,31,Stuyvesant Street,Mn,SMA,Windows,1,1
1684,00-08-10-024,8/10/99,[186 - 188],Columbus Avenue,Mn,UWS,"Details Restaurant: sf, signs, awning",1,1
1685,00-08-11-025,8/10/99,345-347,West 22nd Street,Mn,CHE2,Repointing; 13 Aug 01: brownstone patio replaced with tile,1,0
1686,00-08-11-026,8/11/99,225,Columbus Avenue,Mn,UWS,Solid security gate,1,0
1687,00-08-11-027,8/11/99,30,Rockefeller Plaza,Mn,IL,NW corner shopfront,1,0
1688,00-08-11-028,8/11/99,136-138,East 19th Street,Mn,GPK,Façade work,1,0
1689,00-08-11-029,8/11/99,38,West 120th Street,Mn,MMP,Interior Alts.,1,0
1690,00-08-11-030,,146,Waldron Avenue,SI,IL,"Bldg, being broken into, deterioration; 2 Mar 00: graffiti, garbage",1,1
1692,00-08-13-032,8/13/99,150,Nassau Street,Mn,IL,SF Alts.,1,1
1695,00-08-17-035,6/29/99,463,West Broadway,Mn,SOHO,"Shopfront alts., HVAC equipment at roof",1,0
1696,00-08-17-036,8/2/99,186,Columbus Avenue,Mn,UWS,Shopfront alterations,1,1
1697,00-08-17-037,8/12/99,200,Park Avenue South,Mn,IL,Awnings; 21 Oct 00: northern-most shopfront windows,1,1
1699,00-08-17-039,8/17/99,120,West 72nd Street,Mn,UWS,Sign,1,1
1700,00-08-17-040,8/17/99,159,Duane Street,Mn,TRIW,Work,1,0
1701,00-08-17-041,8/17/99,321,Greenwich Street,Mn,TRIW,Painted yellow,1,0
1702,00-08-17-042,8/17/99,337,Greenwich Street,Mn,TRIW,Work,1,0
1703,00-08-17-043,8/17/99,157,West 12th Street,Mn,GV,Windows,1,0
1704,00-08-18-044,8/18/99,[614],Brielle Avenue,SI,FARM,"Wall collapsed; 20 Aug 99: Bldg. demolished; 6 June 00: signage, fence",1,0
1705,00-08-18-045,8/18/99,3,Greenwich Avenue,Mn,GV,Sign,1,1
1706,00-08-18-046,8/18/99,189,Columbus Avenue,Mn,UWS,Telephones,1,0
1707,00-08-18-047,8/18/99,247A,Columbus Avenue,Mn,UWS,Northern-most entry painted blue,1,0
1708,00-08-18-048,8/18/99,143,East 18th Street,Mn,GPK,Entrance door painted.,1,1
1709,00-08-19-049,8/19/99,391,6th Avenue,Mn,GV,Plastic sign,1,1
1721,00-08-23-051,8/23/99,637-639,Hudson Street,Mn,GV,Demolition,1,1
1723,00-08-24-053,8/24/99,22,8th Avenue,Mn,GV,Windows,1,1
1724,00-08-24-054,8/24/99,[937-939],Union Street,Bn,NOT DESIGNATED,Preparing for a new bldg. at lot btwn 925 & 946 Union Street,1,0
1726,00-08-25-056,8/25/99,205,East 73rd Street,Mn,NOT DESIGNATED,Adding a floor,1,0
1727,00-08-25-057,8/25/99,[128],West 72nd Street,Mn,UWS,Poona sign & lights,1,1
1728,00-08-25-058,8/25/99,[130],West 72nd Street,Mn,UWS,Agnes Nails sign,1,1
1729,00-08-25-059,8/25/99,54,Barrow Street,Mn,GV,Façade work; 30 Aug 99: windows,1,0
1730,00-08-26-060,8/26/99,15,East 75th Street,Mn,UES,Work ongoing,1,0
1731,00-08-26-061,8/26/99,4,East 75th Street,Mn,UES,Cement work,1,0
1733,00-08-26-063,8/21/99,68-70,Irving Place,Mn,GPK,Planters,1,1
1734,00-08-26-064,8/23/99,37-23,82nd Street,Qn,JH,Payless Shoe sign reinstalled,1,1
1735,00-08-26-065,8/23/99,37-53,82nd Street,Qn,JH,"blue tarp; 15 Nov 99: Removed awning; 19 Nov 99: Awning, wood added",1,1
1736,00-08-27-066,8/27/99,15,McDougal Alley,Mn,GV,Interior Alts.,1,0
1737,00-08-27-067,8/27/99,[145],Prospect Park West,Bn,NOT DESIGNATED,Steel curb being replaced by DOT,1,0
1738,00-08-27-068,8/27/99,315,Arleigh Road,Qn,DOUG,Work ongoing,1,1
1739,00-08-30-069,8/30/99,81-19,37th Avenue,Qn,JH,Yellow sign; 9 Nov 99: neon borders,1,1
1741,00-09-01-001,8/31/99,59,Greenwich Avenue,Mn,GV,Wall sign,1,1
1742,00-09-01-002,8/31/99,49,East 91st Street,Mn,CARE,Windows,1,1
1743,00-09-01-003,9/1/99,208 - 210,East 18th Street,Mn,SSQ,Removing façade,1,0
1744,00-09-01-004,8/18/99,37-11,84th Street,Qn,JH,Windows,1,1
1745,00-09-01-005,8/31/99,20,Hamilton Terrace,Mn,HH,Rear alts.,1,0
1746,00-09-07-006,9/7/99,128,East 74th Street,Mn,UES,Addition,1,0
1747,00-09-07-007,9/7/99,14 & 16,Grace Court Alley,Bn,BH,lamppost altered,1,0
1748,00-09-07-008,8/30/99,356,Carlton Avenue,Bn,FG,windows,1,1
1750,00-09-07-010,9/5/99,371,Hollywood Avenue,Qn,DOUG,Wall constructed at western property line,1,0
1751,00-09-07-011,9/7/99,41,North Moore Street,Mn,TRIW,Signage,1,0
1752,00-09-08-012,9/8/99,259,Cumberland Street,Bn,FG,Areaway paving removed.,1,0
1753,00-09-10-013,9/10/99,71,Orange Street,Bn,BH,"sidewalk, pigeon spikes",1,0
1755,00-09-13-015,9/13/99,179,Dean Street,Bn,BOE,Replaced basement windows,1,0
1756,00-09-13-016,9/13/99,37-57,82nd Street,Qn,JH,Re-installed awning,1,1
1757,00-09-13-017,9/13/99,84-26,37th Avenue,Qn,JH,White sign--A&L Gift Shop; 28 Apr 00: removed brick,1,1
1758,00-09-13-018,9/13/99,85-24,37th Avenue,Qn,JH,Yellow sign--Sound & Vision,1,1
1759,00-09-13-019,9/13/99,86-12,37th Avenue,Qn,JH,White sign--99 Cents,1,1
1760,00-09-13-020,9/13/99,86-16,37th Avenue,Qn,JH,Green sign--Laundromat,1,1
1761,00-09-13-021,9/13/99,86-18,37th Avenue,Qn,JH,Green sign--pizza place,1,1
1762,00-09-13-022,9/13/99,84-05,37th Avenue,Qn,JH,Blue sign--Laundromat; 22 Aug 00: shopfront; 7 Feb 01: HVAC & roll-gates,1,1
1763,00-09-13-023,9/13/99,84-07,37th Avenue,Qn,JH,Yellow sign--Shoe repair,1,1
1765,00-09-15-025,9/15/99,875,Manhattan Avenue,Bn,GP,Façade work,1,1
1766,00-09-15-026,9/15/99,150,Nassau Street,Mn,IL,wall sign,1,1
1767,00-09-16-027,9/16/99,123,East 71st Street,Mn,UES,Painted mural,1,0
1769,00-09-17-029,9/17/99,28,East 95th Street,Mn,CARE,Chemical cleaning,1,1
1770,00-09-20-030,9/20/99,63,West 8th Street,Mn,GV,Natural Beauty sign,1,1
1771,00-09-20-031,9/20/99,33-39,86th Street,Qn,NOT DESIGNATED,"Ripping up lawn, dumpster",1,0
1772,00-09-20-032,9/20/99,406,6th Avenue,Mn,GV,Shopfront,1,1
1773,00-09-20-033,9/20/99,137,7th Avenue South,Mn,GV,Maui Taco sign,1,1
1774,00-09-21-034,9/21/99,37-27,78th Street,Qn,JH,Façade Alts.,1,1
1775,00-09-21-035,9/21/99,37-41,78th Street,Qn,JH,Façade Alts.,1,0
1776,00-09-22-036,9/22/99,560-566,Hudson Street,Mn,GV,"Façade work, windows",1,0
1777,00-09-22-037,9/22/99,140,St. John's Place,Bn,PS,Rear deck,1,0
1779,00-09-23-039,9/23/99,77-11,35th Avenue,Qn,NOT DESIGNATED,Capping cornice,1,0
1780,00-09-23-040,9/23/99,418,6th Avenue,Mn,GV,Flagpole,1,1
1781,00-09-24-041,9/24/99,34,East 69th Street,Mn,UES,Flagpole; 15 Oct 99: Painted doors,1,0
1782,00-09-24-042,9/24/99,245,West 10th Street,Mn,GV,Windows,1,0
1784,00-09-27-044,9/27/99,81,Pearl Street,Mn,STS,Clogged gutters,1,1
1785,00-09-27-045,9/27/99,444,6th Avenue,Mn,GV,Painted cornice,1,1
1786,00-09-29-046,9/29/99,78-01,37th Avenue,Qn,JH,Interior Alts.,1,1
1789,00-09-30-049,9/30/99,138,West Broadway,Mn,TRIW,Windows,1,1
1790,00-09-30-050,9/30/99,117,West 70th Street,Mn,UWS,Interior Alts.,1,0
1791,00-10-01-001,10/1/99,115,East 78th Street,Mn,UES,Rear alts.,1,1
1792,00-10-01-002,10/1/99,159,Willoughby Avenue,Bn,CLIN,"Doors, cellar windows",1,1
1793,00-10-04-003,10/4/99,[119],8th Avenue,Mn,NOT DESIGNATED,Doors at Port Authority Bldg. Replaced,1,0
1794,00-10-04-004,10/4/99,12,Everet Street,Bn,FF,Rooftop structure,1,0
1795,00-10-04-005,10/4/99,[101-147],St. Felix Street,Bn,BAM,Windows,1,0
1796,00-10-04-006,10/2/99,40,East 75th Street,Mn,UES,Façade work,1,0
1797,00-10-04-007,10/4/99,238,Washington Avenue,Bn,CLIN,Rebrownstoning,1,1
1798,00-10-04-008,10/4/99,217,Greene Avenue,Bn,CLIN,Rebrownstoning,1,1
1799,00-10-04-009,10/4/99,231,Greene Avenue,Bn,CLIN,Rebrownstoning,1,0
1800,00-10-05-010,10/5/99,35-51,87th Street,Qn,JH,Windows,1,1
1801,00-10-07-011,10/7/99,108,7th Avenue South,Mn,GV,"Sign at rooftop, lighting; 19 Sept 00: more signage",1,1
1802,00-10-07-012,10/7/99,299,West 12th Street,Mn,GV,Painting at rear,1,0
1803,00-10-08-013,9/8/99,225,East 17th Street,Mn,SSQ,Aluminum structures at right of entry,1,1
1804,00-10-08-014,10/8/99,304,East 44th Street,Mn,IL,Flagpole & security camera,1,0
1805,00-10-08-015,10/8/99,897,Union Street,Bn,PS,Painting,1,1
1806,00-10-08-016,10/8/99,468,West 144th Street,Mn,HH,"Scaffolding up, work?",1,0
1807,00-10-08-017,10/8/99,336,Convent Avenue,Mn,HH,Run down condition; 23 Nov 99: Removal of copper dormer,1,1
1808,00-10-08-018,10/8/99,471,West 141st Street,Mn,HH,Removal of cornice,1,0
1809,00-10-09-019,10/9/99,,Gramercy Park North,Mn,GPK,Banners on lampposts,1,0
1810,00-10-12-020,10/12/99,34-51,84th Street,Qn,JH,brick planters,1,1
1811,00-10-12-021,10/12/99,34-15,84th Street,Qn,JH,pointing,1,0
1812,00-10-12-022,10/12/99,340,Clinton Avenue,Bn,CLIN,Cornice removal,1,1
1813,00-10-13-023,10/13/99,34-37,84th Street,Qn,JH,Brick planters; 1 Oct 02: garden wall,1,1
1815,00-10-14-025,10/15/99,322,West 75th Street,Mn,WEC,Greenhouse,1,0
1816,00-10-15-026,10/15/99,127,East 69th Street,Mn,UES,Ground floor eastern-most window,1,1
1817,00-10-15-027,10/15/99,19,East 64th Street,Mn,UES,Light fixture above entry,1,0
1818,00-10-15-028,10/15/99,60,East 93rd Street,Mn,IL,Ground floor painted gray,1,1
1819,00-10-15-029,10/15/99,19,East 70th Street,Mn,UES,a/c duct at western-most ground floor window,1,0
1820,00-10-15-030,10/15/99,16,East 77th Street,Mn,UES,Lighting at entry,1,0
1821,00-10-15-031,10/15/99,10,East 76th Street,Mn,UES,4th floor eastern-most window; 11 July 01: 2nd story added to rear addition,1,0
1822,00-10-15-032,10/15/99,31,West 82nd Street,Mn,UWS,top floor windows removed,1,1
1823,00-10-15-033,10/15/99,80,Irving Place,Mn,GPK,Pergola at roof-top,1,0
1824,00-10-15-034,10/15/99,230,Dekalb Avenue,Bn,FG,Pointing,1,1
1825,00-10-18-035,10/18/99,25,West 23rd Street,Mn,LM,"Canopy, awning, sign, banner",1,1
1826,00-10-18-036,10/18/99,166,West 122nd Street,Mn,NOT DESIGNATED,Alterations,1,0
1827,00-10-18-037,10/18/99,7,Center Drive,Qn,DOUG,Painted window frames & sashes; 17 May 00: Painted trim,1,1
1828,00-10-18-038,10/18/99,77,West 11th Street,Mn,GV,Telephone,1,1
1829,00-10-20-039,10/20/99,62,West 11th Street,Mn,GV,Telephone,1,0
1830,00-10-18-040,10/18/99,333,Smith Street,Bn,CG,Telephone,1,0
1831,00-10-21-041,10/21/99,34-22,87th Street,Qn,JH,Removed shutters,1,1
1832,00-10-21-042,10/21/99,35-61,87th Street,Qn,JH,Windows,1,0
1833,00-10-21-043,10/21/99,72,Franklin Street,Mn,TRIE,Deterioration,1,0
1834,00-10-21-044,10/21/99,43,Crosby Street,Mn,NOT DESIGNATED,lot-line windows,1,0
1835,00-10-21-045,10/21/99,147,West 80th Street,Mn,UWS,Scaffold crushing cornice,1,0
1836,00-10-22-046,10/22/99,1165,Fifth Avenue,Mn,CARE,Replaced grilles at doors; 1 Dec 00: Removed doors,1,0
1837,00-10-22-047,10/22/99,12,Washington Square North,Mn,GV,Windows,1,1
1838,00-10-25-048,10/25/99,78-12,35th Avenue,Qn,JH,"Pointing, replacing bricks",1,0
1839,00-10-25-049,10/25/99,84-02,37th Avenue,Qn,JH,Awning replaced?,1,1
1840,00-10-25-050,10/25/99,[11],Great Jones Street,Mn,NOHO,Sign,1,0
1841,00-10-26-051,10/25/99,790,Greenwich Street,Mn,GV,Rooftop alterations,1,0
1842,00-10-26-052,10/21/99,7-13,Washington Square North,Mn,GV,Windows,1,1
1843,00-10-26-053,10/21/99,11,Washington Square South,Mn,NOT DESIGNATED,Moldings removed.,1,0
1844,00-10-26-054,10/26/99,316,Garfield Place,Bn,PS,Garden pavilion,1,1
1845,00-10-26-055,10/26/99,81-11,37th Avenue,Qn,JH,Illuminated optical sign,1,1
1846,00-10-26-056,10/25/99,940,Madison Avenue,Mn,UES,Deadbolt lock; 11 Jan 00: Window,1,1
1847,00-10-26-057,10/26/99,136,Hicks Street,Bn,BH,Roof work,1,0
1848,00-10-26-058,10/26/99,[250],Dean Street,Bn,BOE,Payphones,1,1
1849,00-10-26-059,10/26/99,75,Fifth Avenue,Mn,LM,Fruit stand,1,0
1852,00-10-27-062,10/26/99,324,West 89th Street,Mn,RWE,Façade work,1,1
1853,00-10-27-063,10/26/99,249,Dekalb Avenue,Bn,FG,Ugly shopfront; 29 Oct 99: neon,1,1
1855,00-10-28-065,10/28/99,31,Union Square West,Mn,IL,heat lamps,1,0
1857,00-10-29-067,10/29/99,165,West 72nd Street,Mn,UWS,"Painting, façade work",1,0
1858,00-10-29-068,10/29/99,174,West 72nd Street,Mn,UWS,"Removed sign, changed windows; 22 Nov 99: awning, signs",1,1
1859,00-10-29-069,10/29/99,176,West 72nd Street,Mn,UWS,Sushi Place signage,1,0
1860,00-10-29-070,10/29/99,111,West 82nd Street,Mn,UWS,Preparing to paint,1,1
1861,00-11-01-001,10/29/99,407,Washington Avenue,Bn,CLIN,Windows,1,1
1862,00-11-01-002,10/29/99,409,Washington Avenue,Bn,CLIN,Windows,1,1
1863,00-11-01-003,10/29/99,471A,1st Street,Bn,PS,"Removed ironwork, rebrownstoning",1,0
1864,00-11-01-004,10/29/99,85,8th Avenue,Bn,PS,Rebrownstoning,1,1
1865,00-11-03-005,10/29/99,132,Willoughby Avenue,Bn,CLIN,"Windows removed, potential cornice removal",1,0
1866,00-11-03-006,11/2/99,462,6th Avenue,Mn,GV,"Lights, wires",1,1
1867,00-11-03-007,11/2/99,10,Christopher Street,Mn,GV,Awnings,1,1
1868,00-11-03-008,11/3/99,551,Hudson Street,Mn,GV,"Shed, altering window openings; 12 Nov 99: telephone",1,1
1869,00-11-03-009,11/2/99,116,East 70th Street,Mn,UES,Preparing to paint,1,1
1870,00-11-03-010,11/2/99,129,East 64th Street,Mn,UES,Rooftop addt.,1,0
1871,00-11-03-011,10/30/99,217,East 17th Street,Mn,SSQ,Painted façade,1,1
1872,00-11-03-012,11/3/99,48,Perry Street,Mn,GV,Preparing to remove cornice,1,0
1873,00-11-03-013,11/3/99,43 - 45,West 68th Street,Mn,UWS,Fence installed,1,1
1874,00-11-04-014,11/4/99,47,West 20th Street,Mn,LM,Door replaced,1,1
1875,00-11-04-015,11/1/99,393 - 399,Lafayette Street,Mn,IL,"Flagpole; 8 Nov 99: lights, planters; 2 Oct 03: entrance",1,1
1876,00-11-04-016,11/1/99,21,East 62nd Street,Mn,UES,French door at 3rd floor,1,0
1877,00-11-04-017,11/1/99,15,East 71st Street,Mn,UES,Façade work,1,0
1879,00-11-04-019,11/1/99,825,Fifth Avenue,Mn,UES,Ground floor metal service door,1,1
1880,00-11-04-020,11/1/99,460,Madison Avenue,Mn,UES,Southern-most window at ground floor,1,0
1881,00-11-04-021,11/3/99,183,Duane Street,Mn,TRIW,Construction at roof,1,0
1882,00-11-05-022,11/5/99,,State Street,Bn,BH,Garage sign at rear of bldg.,1,0
1883,00-11-05-023,11/5/99,75 and/or 79,8th Avenue,Mn,GV,Uplights,1,0
1884,00-11-08-024,11/8/99,134,Bergen Street,Bn,NOT DESIGNATED,Cornice being removed,1,0
1885,00-11-08-025,10/20/99,145-165,8th Avenue,Bn,PS,Lights,1,0
1886,00-11-08-026,11/8/99,442,West 23rd Street,Mn,CHE2,Painting,1,1
1889,00-11-09-029,11/9/99,160,East 92nd Street,Mn,IL,"Vacant, disrepair",1,1
1890,00-11-09-030,11/9/99,`,37th Avenue,Qn,JH,Maroon waterfall awning; 28 July 00: billboard,1,1
1891,00-11-10-031,11/10/99,1-3,West 54th Street,Mn,IL,Canopy (University Club),1,0
1896,00-11-10-036,11/10/99,37 - 39,West 68th Street,Mn,UWS,Posts installed.,1,1
1897,00-11-15-037,11/13/99,71,Horatio Street,Mn,GV,Fence/gate installed,1,0
1898,00-11-15-038,11/15/99,29,West 82nd Street,Mn,UWS,Pink granite installed.,1,1
1899,00-11-15-039,11/15/99,9,East 88th Street,Mn,CARE,Fence at roof,1,0
1900,00-11-15-040,11/15/99,1,West 20th Street,Mn,LM,Painting,1,1
1901,00-11-15-041,11/15/99,37-47,82nd Street,Qn,JH,Plaza Dama signs,1,0
1902,00-11-15-042,11/15/99,84-18,37th Avenue,Qn,JH,Pronto Envios projecting sign,1,1
1903,00-11-15-043,11/15/99,84-30,37th Avenue,Qn,JH,99 Cents sign,1,1
1904,00-11-15-044,11/15/99,84-28,37th Avenue,Qn,JH,A&L sign; 17 Feb 00: shopfront removed; 13 Nov 00: neon; 7 Feb 01: shopfront installed,1,1
1905,00-11-15-045,11/15/99,84-24,37th Avenue,Qn,JH,Shear Cuts sign,1,1
1906,00-11-15-046,11/15/99,84-10,37th Avenue,Qn,JH,Food Store sign,1,0
1907,00-11-15-047,11/15/99,47,Irving Place,Mn,E17,Windows replaced,1,0
1908,00-11-15-048,11/15/99,101,West 72nd Street,Mn,UWS,Lights,1,0
1909,00-11-15-049,11/15/99,2,East 37th Street,Mn,IL,Awning,1,1
1911,00-11-16-051,11/16/99,1134,Madison Avenue,Mn,MET,Sign,1,1
1912,00-11-17-052,11/17/99,70 or 72,Henry Street,Bn,BH,Neon & other signage,1,1
1913,00-11-17-053,11/17/99,[76],Henry Street,Bn,BH,Delicatessen Bldg. Windows replaced,1,1
1914,00-11-17-054,11/17/99,[70],Henry Street,Bn,BH,Movie Theatre signage,1,1
1915,00-11-17-055,11/17/99,[838],Fifth Avenue,Mn,UES,A/C cuts; 31 Dec 99: signs,1,0
1917,00-11-18-057,11/18/99,73 or 75,Fifth Avenue,Mn,LM,"Enclosure at shopfront, holes in sidewalk",1,0
1919,00-11-19-059,11/19/99,37-34,82nd Street,Qn,JH,"20' vertical sign; 18 Aug 02: Plaza Dama shopfront, signs, lights",1,1
1920,00-11-22-060,11/20/99,222,Washington Avenue,Bn,CLIN,Rebrownstoning,1,1
1921,00-11-22-061,11/22/99,132,Greene Avenue,Bn,CLIN,Interior Alterations,1,0
1923,00-11-23-063,11/23/99,,West 112th Street,Mn,IL?,Blasting at base of statue,1,0
1924,00-11-23-064,11/23/99,165,7th Avenue South,Mn,GV,Gray box awning,1,1
1925,00-11-23-065,11/23/99,130,Duane Street,Mn,TRIS,"Signs at lot, hydraulic lift",1,1
1926,00-11-24-066,11/24/99,162,West 72nd Street,Mn,UWS,"Removal of terra cotta, leaning scaffold, high pressure chemical wash",1,0
1927,00-11-24-067,11/24/99,528 - 530,West 47th Street,Mn,NOT DESIGNATED,New Building,1,0
1928,00-11-24-068,11/24/99,41,West 12th Street,Mn,GV,Façade work,1,1
1929,00-11-24-069,11/24/99,36,East 22nd Street,Mn,NOT DESIGNATED,Removing cornice,1,0
1930,00-11-24-070,11/24/99,452,West 141st Street,Mn,HH,Single pane windows,1,0
1931,00-12-01-001,11/26/99,35 - 37,7th Avenue,Mn,GV,Shopfront pink & awning,1,0
1932,00-12-01-002,11/26/99,117 - 121,Bank Street,Mn,GV,"Façade work, windows",1,0
1933,00-12-01-003,11/25/99,676,6th Avenue,Mn,LM,Sign,1,1
1934,00-12-01-004,11/29/99,31,West 10th Street,Mn,GV,Façade work,1,0
1935,00-12-01-005,11/29/99,47,Walker Street,Mn,TRIE,Rooftop Addition,1,0
